year,Gini_dta_5yr,Gini_data_wealth_trend,psid_ntx_govt__,psid_nts_govt__,psid_ntp_govt__,psid_ntl_govt__,psid_ntk_govt__,psid_ntc_govt__,psid_nsh_govt__,psid_nls_govt__,psid_nlb_govt__,psid_nga_govt__,psid_nds_govt__,psid_ndp_govt__,psid_ndo_govt__,psid_ndm_govt__,psid_ncs_govt__,psid_ncp_govt__,psid_all_govt__,nstr_ndm_govt__,nstr_all_govt__,ndel_ndm_govt__,ndel_all_govt__,hrat_ndm_govt__,hrat_all_govt__,gcbo_ndm_govt__,gcbo_all_govt__,exor_all_govt__,crr3_ndm_govt__,crr3_all_govt__,beqs_ndm_govt__,beqs_all_govt__,_merge
2120,,,.78778726,.79066145,.77635366,.78184211,.78850484,.78265125,.76490808,.79688179,.74214739,.78531748,.77476251,.7694571,.79127246,.76277137,.77070898,.77222759,.78048772,.7451598,.76749814,.62818509,.67584366,.76942569,.78817374,.76497215,.78562731,.75790733,.73609895,.75656921,.75390321,.76826406,2
2125,,,.7879414,.79080051,.77652878,.78201431,.78865415,.78282541,.76507127,.79702866,.74229729,.78548861,.77485019,.76961011,.79147005,.76288396,.7708565,.77240938,.78065932,.74531209,.76770788,.62835801,.67619193,.76955765,.7883563,.76507956,.78579605,.75805926,.73624957,.7567367,.7541548,.76849765,2
2130,,,.78799766,.79084665,.77660334,.78208721,.78870851,.78290027,.76513225,.79707426,.74235314,.78555906,.77488112,.76967686,.79160744,.76296669,.77091122,.77248722,.78073245,.74542576,.76780975,.62850696,.67628795,.76964819,.78844166,.765158,.78586435,.75815302,.73633242,.75679171,.75442302,.76861328,2
2135,,,.78802741,.79087204,.77664798,.7821309,.78873956,.78294301,.76516742,.79709285,.74240047,.78559923,.77497709,.7697227,.79167813,.76302934,.77095157,.77253568,.78077585,.74550849,.76787806,.62866271,.67628342,.76970959,.78849524,.76521838,.78590262,.75824612,.73636562,.75680459,.75468534,.76869202,2
2140,,,.78806961,.79091221,.7767005,.78218347,.78878492,.78299153,.7652151,.79712421,.74248499,.78564829,.77515358,.76977932,.79169083,.76306474,.77102786,.77259815,.7808277,.74555504,.76795012,.62880683,.67632318,.76973969,.78855062,.76525348,.7859503,.75833857,.73636949,.75682282,.75489593,.76878393,2
2145,,,.78813726,.79097915,.77677488,.78225809,.78885633,.78306073,.76528662,.79718214,.74260455,.78572029,.77535737,.76985788,.79167455,.76307809,.7711373,.77268529,.78090131,.74557412,.76803929,.62890989,.67645919,.76974827,.78862166,.76526731,.78602117,.75843841,.73635995,.75686342,.75503975,.76891029,2
2150,,,.78820246,.79104382,.77684426,.78232801,.78892469,.78312582,.76535279,.79723829,.74271852,.78578848,.77551091,.76993173,.7916528,.76307899,.7712428,.77276754,.78097028,.74557805,.76811725,.62896514,.67662716,.76974684,.78868496,.76526868,.78608853,.75851965,.73634905,.75690645,.75512785,.76903749,2
2155,,,.78823322,.79107386,.77687752,.78236222,.78895789,.78315693,.76538175,.79726112,.74278533,.78582197,.77558166,.76996952,.79163772,.76307768,.77130562,.77281106,.78100365,.74557894,.76815385,.62898993,.67674071,.76974535,.78871346,.76526761,.78612119,.75855273,.73634434,.75692397,.7551834,.76912367,2
2160,,,.78823125,.79107112,.77687687,.78236258,.78895766,.7831558,.76537663,.79725307,.74280429,.78582251,.77559435,.7699725,.79163116,.76307827,.77132386,.7728169,.78100353,.74558103,.76815355,.62899834,.67678183,.7697466,.78871149,.76526821,.78612101,.75854272,.73634601,.75691545,.75522298,.76916707,2
2165,,,.78822172,.79106057,.77686805,.78235459,.78894907,.78314722,.76536524,.79723871,.74280447,.785815,.77558869,.76996642,.79163003,.76307929,.7713238,.77281147,.78099519,.7455827,.76814502,.62899721,.67678857,.76974815,.78870398,.7652691,.78611279,.75852096,.73634976,.75690389,.75525308,.76919252,2
