year,age,edclass,race,sex,population,tmort,trate
1991,48,3,0,0,672389.75,1997.46923828125,297.0701599121094
1991,49,0,0,0,2728709,11868,434.9309387207031
1991,49,1,0,0,2118170,10189.9052734375,481.0711669921875
1991,49,3,0,0,610539.1875,1678.0947265625,274.8545532226563
1991,50,0,0,0,2542719,12206,480.0373229980469
1991,50,1,0,0,1950434,10526.43359375,539.6969604492188
1991,50,3,0,0,592284.9375,1679.566772460938,283.5741271972656
1991,51,0,0,0,2348680,12474,531.1068115234375
1991,51,1,0,0,1866675.75,10849.419921875,581.2161254882813
1991,51,3,0,0,482004.09375,1624.580810546875,337.0470886230469
1991,52,0,0,0,2308794,13344,577.9640502929688
1991,52,1,0,0,1795862.75,11523.7421875,641.6828002929688
1991,52,3,0,0,512931.375,1820.257934570313,354.8735656738281
1991,53,0,0,0,2284351,14114,617.8560180664063
1991,53,1,0,0,1799094.875,12297.220703125,683.5226440429688
1991,53,3,0,0,485256.0625,1816.779052734375,374.3959655761719
1991,54,0,0,0,2206516,14904,675.4539794921875
1991,54,1,0,0,1767397.5,13003.103515625,735.7203979492188
1991,54,3,0,0,439118.5,1900.89599609375,432.8890686035156
1991,55,0,0,0,2143336,16431,766.6087036132813
1991,55,1,0,0,1745183.375,14316.96484375,820.3702392578125
1991,55,3,0,0,398152.59375,2114.03515625,530.9610595703125
1991,56,0,0,0,2192806,18108,825.791259765625
1991,56,1,0,0,1813001,15882.751953125,876.047607421875
1991,56,3,0,0,379805,2225.248046875,585.8922729492188
1991,57,0,0,0,2065185,18796,910.1363525390625
1991,57,1,0,0,1682495.25,16414.97265625,975.6326293945313
1991,57,3,0,0,382689.75,2381.0283203125,622.1824340820313
1991,58,0,0,0,1958277,20470,1045.306640625
1991,58,1,0,0,1588301.625,17953.390625,1130.351440429688
1991,58,3,0,0,369975.3125,2516.610107421875,680.2102661132813
1991,59,0,0,0,2083185,22746,1091.8857421875
1991,59,1,0,0,1716515.125,19812.677734375,1154.238403320313
1991,59,3,0,0,366669.84375,2933.3212890625,799.9898071289063
1991,60,0,0,0,2136541,25143,1176.808715820313
1991,60,1,0,0,1793432.375,21968.169921875,1224.923217773438
1991,60,3,0,0,343108.65625,3174.830078125,925.3132934570313
1991,61,0,0,0,2102032,27947,1329.523071289063
1991,61,1,0,0,1782531.875,24709.48046875,1386.201293945313
1991,61,3,0,0,319500.125,3237.5185546875,1013.307434082031
1991,62,0,0,0,2082434,29716,1426.984008789063
1991,62,1,0,0,1769882.75,26248.17578125,1483.046020507813
1991,62,3,0,0,312551.25,3467.82421875,1109.521728515625
1991,63,0,0,0,2147689,32834,1528.806030273438
1991,63,1,0,0,1823857,29127.375,1597.020751953125
1991,63,3,0,0,323832.125,3706.62451171875,1144.612915039063
1991,64,0,0,0,2134376,35883,1681.193969726563
1991,64,1,0,0,1778604.125,31911.79296875,1794.204345703125
1991,64,3,0,0,355771.84375,3971.206787109375,1116.222900390625
1991,65,0,0,0,2073183,37940,1830.036254882813
1991,65,1,0,0,1760581.5,33797.421875,1919.673828125
1991,65,3,0,0,312601.46875,4142.5791015625,1325.195068359375
1991,66,0,0,0,2067021,40602,1964.276123046875
1991,66,1,0,0,1778917.25,36111.05859375,2029.945922851563
1991,66,3,0,0,288103.71875,4490.9404296875,1558.79296875
1991,67,0,0,0,2027155,43195,2130.81884765625
1991,67,1,0,0,1719310.25,38499.2578125,2239.226806640625
1991,67,3,0,0,307844.75,4695.7421875,1525.360473632813
1991,68,0,0,0,1912355,44419,2322.73828125
1991,68,1,0,0,1696065.75,39792.91796875,2346.189697265625
1991,68,3,0,0,216289.28125,4626.08251953125,2138.84033203125
1991,69,0,0,0,1958652,48309,2466.441162109375
1991,69,1,0,0,1709455,43325.2265625,2534.44677734375
1991,69,3,0,0,249197,4983.77294921875,1999.932983398438
1991,70,0,0,0,1892148,50172,2651.589599609375
1991,70,1,0,0,1624966.375,45095.3203125,2775.154052734375
1991,70,3,0,0,267181.5,5076.67822265625,1900.0859375
1991,71,0,0,0,1728115,52108,3015.30859375
1991,71,1,0,0,1508246.75,47129.34375,3124.77685546875
1991,71,3,0,0,219868.21875,4978.6533203125,2264.380615234375
1991,72,0,0,0,1645263,51860,3152.07958984375
1991,72,1,0,0,1464833.25,46956.6796875,3205.598876953125
1991,72,3,0,0,180429.6875,4903.3232421875,2717.581298828125
1991,73,0,0,0,1524958,54520,3575.180419921875
1991,73,1,0,0,1323993.25,49233.1171875,3718.5322265625
1991,73,3,0,0,200964.65625,5286.8828125,2630.75244140625
1991,74,0,0,0,1465054,55507,3788.734130859375
1991,74,1,0,0,1302892.25,50200.16015625,3852.978759765625
1991,74,3,0,0,162161.8125,5306.8388671875,3272.5576171875
1991,75,0,0,0,1413658,57538,4070.14990234375
1991,75,1,0,0,1269594,52311.515625,4120.333984375
1991,75,3,0,0,144064.015625,5226.48779296875,3627.892578125
1991,76,0,0,0,1338324,59749,4464.46435546875
1991,76,1,0,0,1204212.75,54249.42578125,4504.97021484375
1991,76,3,0,0,134111.25,5499.5751953125,4100.755859375
1991,77,0,0,0,1245961,61125,4905.8515625
1991,77,1,0,0,1124616.25,55463.1796875,4931.74267578125
1991,77,3,0,0,121344.7109375,5661.818359375,4665.896484375
1991,78,0,0,0,1198775,61801,5155.34619140625
1991,78,1,0,0,1078801.5,55846.734375,5176.73876953125
1991,78,3,0,0,119973.484375,5954.2646484375,4962.98388671875
1991,79,0,0,0,1085350,61609,5676.41796875
1991,79,1,0,0,948414.125,55628.5,5865.4228515625
1991,79,3,0,0,136935.84375,5980.4970703125,4367.37158203125
1991,80,0,0,0,978720,62270,6362.3916015625
1991,80,1,0,0,871507.9375,56120.7109375,6439.4951171875
1991,80,3,0,0,107212.09375,6149.287109375,5735.62841796875
1991,81,0,0,0,884923,62328,7043.32470703125
1991,81,1,0,0,785906.375,55976.5390625,7122.54541015625
1991,81,3,0,0,99016.546875,6351.46240234375,6414.54638671875
1991,82,0,0,0,802874,61014,7599.44921875
1991,82,1,0,0,714986.25,54482.9140625,7620.134765625
1991,82,3,0,0,87887.828125,6531.0830078125,7431.15771484375
1991,83,0,0,0,736781,61450,8340.3349609375
1991,83,1,0,0,655333.6875,54727.48046875,8351.0859375
1991,83,3,0,0,81447.296875,6722.51904296875,8253.8271484375
1991,84,0,0,0,643215,58606,9111.4169921875
1991,84,1,0,0,581016.25,52134.515625,8972.9873046875
1991,84,3,0,0,62198.73828125,6471.48193359375,10404.5224609375
1992,25,0,0,0,3821500,4132,108.1250839233398
1992,25,1,0,0,2928164.5,3777.0888671875,128.9916839599609
1992,25,3,0,0,893335.625,354.9111328125,39.72875595092773
1992,26,0,0,0,3887644,4378,112.6131896972656
1992,26,1,0,0,2946946.5,4023.09375,136.5173645019531
1992,26,3,0,0,940697.5625,354.9062194824219,37.72798156738281
1992,27,0,0,0,4153624,4881,117.5118408203125
1992,27,1,0,0,3115273,4383.5732421875,140.7123260498047
